n,geo,approach,name,keys,audience,angle,hook,hookRu,format,bridgeArticle,potential,potentialWhy,risk,metaFlag
36,FR,клон доказанного (шаблон «кредит пенсионеру»),кредиты · FR · угол «retraité — до какого возраста дают»,prêt retraité | crédit senior | prêt personnel | prêt viager hypothécaire,пенсионеры 60–80,Есть ли во Франции возрастной предел для займа и что банки реально проверяют у пенсионеров,Existe-t-il un âge limite pour emprunter ? Ce que les banques vérifient vraiment chez les retraités en 2026.,Есть ли возрастной предел для займа? Что банки на самом деле проверяют у пенсионеров в 2026.,статика FB 1:1 (как доказанные HU/LT) + видео UGC TT,Prêt pour retraité en 2026 : jusqu’à quel âge et combien emprunter ?,средний,донор LT 60+ $0.297; шаблон платит в 6 странах; Planner по «prêt retraité/crédit senior» строк не вернул; «prêt personnel» 27 100,наши FR-кредиты (июнь) дали $0.09–0.21 за клик и −24% — FR-выплата по кредитам ниже DE,
37,FR,угол первым,"кредиты · FR · угол «заём, который вернут после вас»",prêt viager hypothécaire | prêt retraité | crédit senior,владельцы жилья 65–85,Как работает ипотечный заём «viager»: деньги из стоимости дома без ежемесячных платежей,Propriétaire et retraité ? Ce prêt se rembourse… après vous. Très peu de Français le connaissent.,Собственник и пенсионер? Этот заём возвращается… после вас. Очень немногие французы о нём знают.,статика FB (пара 75 лет в саду) + видео TT,"Prêt viager hypothécaire 2026 : fonctionnement, montants, pièges",низкий,Planner «pret viager hypothecaire» 2 400; класса нет,малый объём; продукт предлагают немногие банки,
38,FR,угол первым (крупнейший объём FR-кредитов),кредиты · FR · угол «одна мensualité вместо трёх»,rachat de crédit | regroupement de crédit | simulation rachat de crédit | rachat de credit meilleur taux,"30–60, 2–4 кредита","Сколько реально экономят французы, объединяя кредиты в один платёж, и когда это невыгодно","3 crédits, 3 prélèvements, un seul salaire. Combien économise-t-on vraiment en regroupant tout en une mensualité ?","3 кредита, 3 списания, одна зарплата. Сколько на самом деле экономят, сводя всё в один платёж?",видео UGC 9:16 (женщина с тремя письмами) TT + статика FB,"Rachat de crédit 2026 : simulation, économies réelles et pièges",высокий,"Planner «rachat de crédit» 40 500, «rachat de credit meilleur taux» 33 100, «regroupement de crédit» 14 800, «simulation…» 6 600; паттерн «калькулятор» — наш самый дорогой; класса нет",Personal hardship у Meta; в FR-крео про кредит — обязательная фраза L312-5,Meta: Personal hardship
39,FR,гипотеза (самый заработочный FR-кластер кредитов у других команд),кредиты · FR · угол «машина за 99 € в месяц без взноса»,Financement Voiture Sans Apport 2026 | Voiture 99 Euros par Mois Sans Apport 2026 | lld ou loa | crédit auto,"22–50, нужна машина, нет первого взноса",Что на самом деле скрывают предложения «машина за 99 € в месяц без взноса» и кому их дают,Une voiture neuve à 99 € par mois sans apport ? Voici ce que cachent vraiment ces offres LOA.,Новая машина за 99 € в месяц без взноса? Вот что на самом деле скрывают эти предложения LOA.,"видео UGC 9:16 (у дилера, ключи) TT + FB","Voiture sans apport en 2026 : LOA, LLD ou crédit auto – le vrai coût",высокий,"7 FR-ключей «voiture … sans apport / par mois» — «средний» у других команд (самый частый FR-кредитный кластер в компании); Planner «crédit auto» 27 100, «lld ou loa» 4 400 (+24%)",в FR наша выплата по кредитам исторически ≤$0.21,
40,FR,угол первым,кредиты · FR · угол «CAF даёт взаймы — мало кто просит»,prêt caf | prêt caf voiture | prêt personnel,"25–45, родители (в т.ч. одинокие), получатели семейных пособий","Какие займы даёт CAF семьям (на машину, ремонт, мебель) и как их попросить",Parent solo ? La CAF peut vous prêter de l'argent pour une voiture ou des travaux – presque personne ne le demande.,Одинокий родитель? CAF может дать взаймы на машину или ремонт — почти никто об этом не просит.,видео UGC 9:16 (мама с ребёнком у машины) TT + FB,"Prêts de la CAF en 2026 : voiture, travaux, équipement – qui y a droit ?",средний,"Planner «prêt caf» 8 100, «prêt caf voiture» 2 900; донор NL «Lenen als Alleenstaande» — «средний» (другие); займы CAF обычно 500–5 000 €, PAH — национальные правила (по сниппету caf.fr/aide-sociale)",госзаймы — выплата может быть низкой,
41,FR,угол первым,кредиты · FR · угол «до 50 000 € под 0% на ремонт»,éco prêt à taux zéro | prêt travaux | crédit travaux | prêt action logement,"35–70, владельцы жилья до 1990 г.",Эко-заём под 0% до 50 000 € на энергоремонт продлён до 2027 — но банки редко предлагают его сами,"Jusqu'à 50 000 € à taux zéro pour vos travaux : l'éco-PTZ est prolongé jusqu'en 2027, mais peu de banques le proposent d'elles-mêmes.","До 50 000 € под 0% на ремонт: эко-PTZ продлён до 2027, но банки редко предлагают его сами.","статика FB (дом, строительные леса) + видео TT","Éco-PTZ 2026 : conditions, montants, cumul avec MaPrimeRénov’",средний,"Planner «éco prêt à taux zéro» 22 200, «prêt travaux» 9 900, «prêt action logement» 6 600; класса нет; éco-PTZ до 50 000 €, продлён до 31.12.2027 (по сниппету)","«0%» — название госпродукта, но модерация может принять за обещание ставки",
42,FR,угол первым,кредиты · FR · угол «страховка займа — переплата»,assurance emprunteur | changement assurance emprunteur | assurance prêt immobilier comparatif,"30–55, выплачивают ипотеку","Со страховкой по ипотеке многие переплачивают: её можно сменить в любой момент, а до 200 000 € — без анкеты о здоровье",Vous remboursez un prêt immobilier ? Vous pouvez changer d'assurance à tout moment – et beaucoup paient encore trop.,Выплачиваете ипотеку? Страховку можно сменить в любой момент — а многие всё ещё переплачивают.,статика FB + видео TT,"Assurance emprunteur 2026 : changer, économiser, loi Lemoine",средний,"Planner «assurance emprunteur» 18 100, «assurance prêt immobilier comparatif» 3 600 (+26%); класса нет; loi Lemoine с 01.06.2022 (по сниппету)","это страхование, не кредит — соседняя вертикаль",
43,FR,угол первым (паттерн «калькулятор»),кредиты · FR · угол «сколько банк даст при зарплате 2 500 €»,taux crédit immobilier | prêt immobilier | simulation de credit immobilier,"28–45, покупают первое жильё",Сколько банки реально дают на жильё при зарплате 2 500 € в 2026,"Taux immobiliers 2026 : avec 2 500 € de salaire, voici combien les banques vous prêtent vraiment.",Ставки по ипотеке 2026: с зарплатой 2 500 € — вот сколько банки реально дают.,карусель FB (3 зарплаты — 3 суммы) + статика,"Capacité d’emprunt 2026 : combien emprunter avec 2 000, 2 500 ou 3 000 € ?",высокий,"Planner «taux crédit immobilier» 74 000 (+22%), «prêt immobilier» 49 500 (+22%), «simulation de credit immobilier» 4 400 (+24%); паттерн «калькулятор» — наш самый дорогой",ипотека у нас не измерена — оценка по паттерну,
44,FR,угол первым,кредиты · FR · угол «3 000 € до конца месяца — что быстрее»,crédit rapide en ligne | crédit rapide | prêt personnel en ligne | demande de crédit en ligne,25–50,"Что быстрее и дешевле, если деньги нужны в этом месяце: кредитная линия, потребзаём или овердрафт","Besoin de 3 000 € avant la fin du mois ? Crédit renouvelable, prêt perso ou découvert : lequel arrive le plus vite – et coûte le moins ?","Нужно 3 000 € до конца месяца? Кредитная линия, потребзаём или овердрафт: что придёт быстрее — и обойдётся дешевле?",видео UGC 9:16 TT + карусель FB,Crédit rapide 2026 : délais réels et coût des solutions,средний,"донор HU «Gyorskölcsön Azonnal» $0.459; Planner «crédit rapide en ligne» 12 100, «crédit rapide» 9 900; но FR «Mini Pret Instantané» у других — «низкий»",в FR «быстрые» ключи у других платят низко; обязательная фраза L312-5,
45,FR,гипотеза (3 ключа «средний» у других),"кредиты · FR · угол «банк отказал, онлайн-банк — нет»",Je Suis a la Recherche D un Pret | Crédit Bancaire | Banque en Ligne Credit | prêt personnel,25–55,"Почему с одним и тем же досье традиционный банк отказывает, а онлайн-банк одобряет","Même dossier, deux réponses : la banque traditionnelle refuse, la banque en ligne dit oui. Pourquoi ?","Одно досье — два ответа: обычный банк отказывает, онлайн-банк говорит «да». Почему?",видео UGC 9:16 (два письма: «refus» и «accord») TT + FB,Prêt personnel : banque traditionnelle ou banque en ligne en 2026 ?,средний,"3 ключа — «средний» у других команд (FR); Planner «prêt personnel» 27 100, «crédit conso» 60 500",«dit oui» — близко к обещанию одобрения; при отклонении заменить на «répond différemment»,Meta: риск — намёк на одобрение
46,FR,угол первым,кредиты · FR · угол «RIB за 5 минут»,Ouvrir un Compte en Ligne Avec Rib Immédiat | Ouvrir un Compte en Ligne en 5 Minutes | ouvrir compte bancaire en ligne sans justificatif | découvert autorisé,"18–40, студенты, недавно переехавшие, после отказа банка",Какие онлайн-банки открывают счёт с французским RIB за 5 минут с телефона и кому дают овердрафт,Un RIB français en 5 minutes depuis votre téléphone : quelles banques en ligne l’acceptent vraiment en 2026 ?,Французский RIB за 5 минут с телефона: какие онлайн-банки реально это делают в 2026?,видео UGC 9:16 (селфи с паспортом на телефоне) TT,"Ouvrir un compte en ligne en 2026 : RIB immédiat, conditions, découvert",средний,2 ключа — «средний» у других (FR); донор PL «Konto Bankowe Online na Dowód» — «высокий» (другие); Planner «ouvrir compte bancaire en ligne sans justificatif» 2 900,"это счёт, не кредит; «sans justificatif» на крео не писать",Meta: риск — «без документов»
47,FR,угол первым,кредиты · FR · угол «государство — ваш поручитель»,prêt étudiant | credit etudiant | pret etudiant credit agricole,18–25 и родители,Студенческий заём до 20 000 € без поручителя: государство гарантирует 70% — мало кто пользуется,"Étudiant sans caution ? L'État peut se porter garant de votre prêt – jusqu'à 20 000 €, sans justifier de revenus.","Студент без поручителя? Государство может стать гарантом по вашему займу — до 20 000 €, без подтверждения доходов.",видео UGC 9:16 (студентка в библиотеке) TT,Prêt étudiant garanti par l’État 2026 : conditions et banques,средний,"Planner «pret etudiant» 14 800, «pret etudiant credit agricole» 4 400; гарантия Bpifrance 70%, до 20 000 € (по сниппету bpifrance/etudiant.gouv); класса нет","«sans justifier de revenus» — формулировка программы, но L312-10 рядом; при отклонении убрать",
48,FR,угол первым,кредиты · FR · угол «auto-entrepreneur и отказ»,prêt auto entrepreneur | prêt personnel | crédit conso,"25–55, самозанятые",Что кредиторы на самом деле смотрят в декларациях URSSAF самозанятого и как не получить отказ,Auto-entrepreneur et refusé par la banque ? Ce que les prêteurs regardent vraiment dans vos déclarations URSSAF.,Самозанятый и банк отказал? Что кредиторы на самом деле смотрят в ваших декларациях URSSAF.,видео UGC 9:16 TT,Prêt pour auto-entrepreneur 2026 : conditions et alternatives,низкий,Planner «prêt auto entrepreneur» 590 — мало; донор US «Business Line of Credit» — «средний» (другие),малый объём,
49,FR,угол первым,кредиты · FR · угол «украшения в ящике»,prêt sur gage | mini prêt | petit crédit rapide,45–80,Как работает заём под залог вещи в Crédit Municipal и сколько реально дают,Des bijoux qui dorment dans un tiroir ? Voici comment fonctionne le prêt sur gage en 2026 – et combien on vous prête vraiment.,Украшения лежат в ящике? Вот как работает заём под залог в 2026 — и сколько реально дают.,видео UGC 9:16 TT,"Prêt sur gage au Crédit Municipal : montants, délais, risques",низкий,"Planner «pret sur gage» 3 600, «mini prêt» 9 900; класса нет; «mini prêt» у других — «низкий»",низкая выплата у «mini»-ключей,
50,FR,угол первым,кредиты · FR · угол «4 раза без комиссии — а потом?»,paiement en plusieurs fois | crédit renouvelable | carte de crédit,"20–40, покупают онлайн в рассрочку",Что происходит после «оплаты в 4 раза без комиссии» и когда это превращается в дорогой кредит,Payer en 4 fois « sans frais » : ce que les magasins ne vous disent pas sur la suite.,Оплата в 4 раза «без комиссии»: что магазины не говорят о последствиях.,видео UGC 9:16 TT,Paiement en plusieurs fois 2026 : vrai coût et risques,средний,"Planner «paiement en plusieurs fois» 6 600 (+22%), «crédit renouvelable» 18 100, «carte de crédit» 33 100; донор PL «…na Raty…» — «средний» (другие)",без бренда BNPL тема слабее; «sans frais» — Free-offer риск,
